F_BUS,T_BUS,BR_R,BR_X,BR_B,RATE_A,RATE_B,RATE_C,TAP,SHIFT,BR_STATUS,ANGMIN,ANGMAX,PF,QF,PT,QT,MU_SF,MU_ST,MU_ANGMIN,MU_ANGMAX
11016,11175,0.006986,0.052736,0.02789,260.12,0,0,0,0,1,0,0,-140.85,-25.2,142.25,32.89,0,0,0,0
11017,11025,0.014564,0.035069,0.00354,72.84,0,0,0,0,1,0,0,42.33,-4.37,-42.08,4.59,0,0,0,0
11069,11017,0.033657,0.064458,0.0013,45.66,0,0,0,0,1,0,0,-5.15,-18.52,5.27,18.61,0,0,0,0
11019,11020,0.000248,0.001194,0,0,0,0,0,0,1,0,0,43.09,31.8,-43.08,-31.77,0,0,0,0
11019,11168,0.00974,0.064926,0.0686,223.55,0,0,0,0,1,0,0,-70.94,-0.73,71.41,-3.28,0,0,0,0
33351,11019,0.011245,0.078461,0.06179,188.44,0,0,0,0,1,0,0,-27.68,25.72,27.85,-31.08,0,0,0,0
11021,11022,0.000289,0.001125,0,0,0,0,0,0,1,0,0,32.58,13.36,-32.58,-13.35,0,0,0,0
11028,11021,0.014188,0.035442,0.00145,68.23,0,0,0,0,1,0,0,29.93,-2.81,-29.81,2.95,0,0,0,0
11023,11036,0.017927,0.040578,0.02138,63.77,0,0,0,0,1,0,0,16.13,-30.61,-15.94,28.8,0,0,0,0
11023,11054,0.013547,0.029109,0.00257,73.11,0,0,0,0,1,0,0,-45.51,17.73,45.82,-17.33,0,0,0,0
11023,11076,0.02258,0.054078,0.00228,66.9,0,0,0,0,1,0,0,-26.24,13.4,26.43,-13.18,0,0,0,0
11023,11408,0.02295,0.072607,0.00531,63.64,0,0,0,0,1,0,0,23.04,-11.56,-22.9,11.46,0,0,0,0
11024,11025,0.000204,0.00113,0,0,0,0,0,0,1,0,0,-42.62,-6.82,42.62,6.84,0,0,0,0
11024,11026,0.000232,0.00118,0,0,0,0,0,0,1,0,0,42.62,6.82,-42.62,-6.8,0,0,0,0
11025,11028,0.033203,0.070185,0.00473,48.6,0,0,0,0,1,0,0,-0.55,-11.43,0.59,11.01,0,0,0,0
11028,11027,0.004965,0.153503,0,93.48,0,0,1.025,0,1,0,0,-48.7,-2.42,48.82,5.99,0,0,0,0
11027,11029,0.000296,0.001065,0,0,0,0,0,0,1,0,0,50.02,8.38,-50.01,-8.36,0,0,0,0
11027,11031,0.002491,0.015975,0.01111,169.88,0,0,0,0,1,0,0,19.74,-38.64,-19.7,37.76,0,0,0,0
11081,11027,0.011539,0.062997,0.01082,147.95,0,0,0,0,1,0,0,9.28,-20.34,-9.23,19.52,0,0,0,0
11027,11168,0.006825,0.038746,0.05317,244.86,0,0,0,0,1,0,0,-109.35,4.75,110.14,-5.82,0,0,0,0
11028,11499,0.030259,0.074922,0.00497,58.68,0,0,0,0,1,0,0,18.18,-5.79,-18.08,5.51,0,0,0,0
11030,11033,0.000826,0.045262,0,530.85,0,0,1,0,1,0,0,141.83,35.55,-141.67,-26.5,0,0,0,0
11030,11034,0.000231,0.001109,0,0,0,0,0,0,1,0,0,-141.83,-35.55,141.88,35.77,0,0,0,0
11030,11035,0.000227,0.001043,0,0,0,0,0,0,1,0,0,0,0,-0,0,0,0,0,0
11031,11033,-0.000351,-0.01923,0,405.85,0,0,1,0,1,0,0,-141.74,-30.34,141.67,26.5,0,0,0,0
11052,11031,0.007656,0.033289,0.01922,215.44,0,0,0,0,1,0,0,-47.8,-25.73,48.01,24.68,0,0,0,0
33351,11031,0.005873,0.040635,0.03466,206.56,0,0,0,0,1,0,0,-54.45,38.7,54.7,-40.64,0,0,0,0
11032,11033,0.002008,0.109956,0,125,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
11178,11034,0.001046,0.012506,0.33891,1230.13,0,0,0,0,1,0,0,601.23,-79.76,-597.64,86.65,0,0,0,0
11034,33349,0.000719,0.007864,0.20393,1192.09,0,0,0,0,1,0,0,455.76,-122.42,-454.28,116.64,0,0,0,0
33273,11036,0.039632,0.099218,0.00589,55.62,0,0,0,0,1,0,0,20.84,-6.4,-20.66,6.22,0,0,0,0
33292,11036,0.018148,0.044558,0.00128,55.5,0,0,0,0,1,0,0,-13.73,-2.95,13.77,2.9,0,0,0,0
11037,11038,0.000205,0.001135,0,0,0,0,0,0,1,0,0,37.56,16.07,-37.56,-16.05,0,0,0,0
11037,11408,0.03603,0.085518,0.00547,57.82,0,0,0,0,1,0,0,-13.8,17.4,13.97,-17.57,0,0,0,0
11499,11037,0.024391,0.04971,0.00331,63.98,0,0,0,0,1,0,0,23.91,-9.31,-23.76,9.26,0,0,0,0
11039,11065,0.015162,0.067014,0.01975,220.12,0,0,0,0,1,0,0,-64.11,-0.36,64.71,0.96,0,0,0,0
11039,11162,0.012009,0.069413,0.01867,213.71,0,0,0,0,1,0,0,-42.71,-8.67,42.93,7.97,0,0,0,0
11040,11314,0.035009,0.078367,0.00955,68.35,0,0,0,0,1,0,0,-27.69,-0.75,27.94,0.29,0,0,0,0
11040,11499,0.018263,0.045782,0.00351,53.88,0,0,0,0,1,0,0,4.64,-4.61,-4.63,4.26,0,0,0,0
11041,11042,0.000243,0.001063,0,0,0,0,0,0,1,0,0,29.46,2.66,-29.46,-2.65,0,0,0,0
11041,11054,0.01704,0.039457,0.00153,56.79,0,0,0,0,1,0,0,-12.08,-2.57,12.11,2.47,0,0,0,0
11041,11069,0.021822,0.046081,0.00215,38.91,0,0,0,0,1,0,0,-2.77,0.66,2.77,-0.88,0,0,0,0
11041,11076,0.021925,0.047333,0.00494,57.15,0,0,0,0,1,0,0,-10.91,3.29,10.93,-3.75,0,0,0,0
11295,11041,0.01188,0.033105,0.0031,49.65,0,0,0,0,1,0,0,3.71,3.73,-3.7,-4.04,0,0,0,0
11043,11044,0.000233,0.001153,0,0,0,0,0,0,1,0,0,-15.07,-3.21,15.07,3.22,0,0,0,0
11043,11045,0.000217,0.00108,0,0,0,0,0,0,1,0,0,14.7,3.14,-14.7,-3.14,0,0,0,0
11043,11046,0.000209,0.001132,0,0,0,0,0,0,1,0,0,0,-0,-0,0,0,0,0,0
11150,11044,0.049758,0.137432,0.00703,59.66,0,0,0,0,1,0,0,18.23,-3.99,-18.06,3.75,0,0,0,0
11044,11312,0.051626,0.118622,0.00527,40.63,0,0,0,0,1,0,0,2.99,-6.97,-2.96,6.49,0,0,0,0
11048,11047,0.00611,0.178271,0,69.44,0,0,1.03125,0,1,0,0,-10.8,-13.99,10.82,14.53,0,0,0,0
11047,11049,0.000295,0.00105,0,0,0,0,0,0,1,0,0,-10.82,-14.53,10.82,14.53,0,0,0,0
11048,11388,0.016028,0.044469,0.02468,69.58,0,0,0,0,1,0,0,-33.43,0.1,33.6,-2.34,0,0,0,0
11048,11413,0.03409,0.086686,0.00305,57.78,0,0,0,0,1,0,0,-14.54,0.79,14.61,-0.95,0,0,0,0
11289,11049,0.004399,0.029082,0.05846,221.72,0,0,0,0,1,0,0,-69.82,4.52,70.03,-9.47,0,0,0,0
11049,11395,0.007719,0.047114,0.01822,229.13,0,0,0,0,1,0,0,-80.84,-5.06,81.31,5.95,0,0,0,0
11050,11051,0.000272,0.001074,0,0,0,0,0,0,1,0,0,50.26,13.65,-50.26,-13.62,0,0,0,0
11050,11314,0.010601,0.029526,0.00156,65.55,0,0,0,0,1,0,0,-25.46,-7.75,25.53,7.78,0,0,0,0
11388,11050,0.026244,0.056772,0.00232,64.91,0,0,0,0,1,0,0,24.96,5.99,-24.81,-5.9,0,0,0,0
11052,11053,0.007752,0.047314,0.01236,157.9,0,0,0,0,1,0,0,1.57,13.31,-1.56,-14.48,0,0,0,0
33071,11052,0.014122,0.062396,0.01665,179.3,0,0,0,0,1,0,0,-6.82,-8.35,6.83,6.72,0,0,0,0
11054,11053,0.006504,0.220316,0,70.14,0,0,1,0,1,0,0,-14.8,7.87,14.82,-7.28,0,0,0,0
11053,11055,0.000238,0.001023,0,0,0,0,0,0,1,0,0,39.17,19.45,-39.17,-19.43,0,0,0,0
11054,11066,0.010138,0.027755,0.00303,62.94,0,0,0,0,1,0,0,21.17,-1.53,-21.13,1.33,0,0,0,0
11054,11167,0.024781,0.079027,0.01086,82.55,0,0,0,0,1,0,0,-35.91,10.72,36.25,-10.78,0,0,0,0
11054,11167,0.024781,0.079027,0.01086,82.55,0,0,0,0,1,0,0,-35.91,10.72,36.25,-10.78,0,0,0,0
11054,11167,0.024781,0.079027,0.01086,82.55,0,0,0,0,1,0,0,-35.91,10.72,36.25,-10.78,0,0,0,0
11054,11295,0.01895,0.044741,0.00264,52.59,0,0,0,0,1,0,0,7.86,-0.49,-7.85,0.24,0,0,0,0
11070,11056,0.026366,0.078299,0.00245,52.62,0,0,0,0,1,0,0,-5.78,1.06,5.79,-1.28,0,0,0,0
11056,11312,0.020744,0.056228,0.00342,61.67,0,0,0,0,1,0,0,-16.64,-0.16,16.7,-0.03,0,0,0,0
11057,11058,0.000207,0.00107,0,0,0,0,0,0,1,0,0,20.99,2.31,-20.99,-2.31,0,0,0,0
11057,11059,0.000272,0.001188,0,0,0,0,0,0,1,0,0,-20.99,19.78,21,-19.77,0,0,0,0
11057,11060,0.000234,0.00112,0,0,0,0,0,0,1,0,0,-0,-0,0,0,0,0,0,0
11059,11066,0.030991,0.059245,0.0119,64.69,0,0,0,0,1,0,0,-24.39,21.68,24.71,-22.31,0,0,0,0
33292,11059,0.050557,0.142688,0.00536,50.35,0,0,0,0,1,0,0,-3.39,1.37,3.39,-1.91,0,0,0,0
11062,11061,0.000482,0.032206,0,403.41,0,0,1,0,1,0,0,-134.86,-4.46,134.95,10.01,0,0,0,0
11061,11064,0.000255,0.00118,0,0,0,0,0,0,1,0,0,54.55,14.92,-54.54,-14.88,0,0,0,0
11061,11158,0.000839,0.009639,0.32984,1060.69,0,0,0,0,1,0,0,172.36,-13.74,-172.13,-18.56,0,0,0,0
11426,11061,0.001274,0.016422,0.15202,1143.92,0,0,0,0,1,0,0,363.42,15.16,-361.85,-11.19,0,0,0,0
11063,11062,0.006615,0.198884,0,88.15,0,0,1,0,1,0,0,-29.71,-0.88,29.77,2.56,0,0,0,0
11062,11065,0.000236,0.001148,0,0,0,0,0,0,1,0,0,105.1,1.9,-105.07,-1.78,0,0,0,0
11063,11150,0.049582,0.137457,0.00335,68.94,0,0,0,0,1,0,0,29.71,0.88,-29.29,-0.06,0,0,0,0
11149,11065,0.00646,0.044195,0.01889,184.68,0,0,0,0,1,0,0,-0.05,-2.49,0.05,0.49,0,0,0,0
33071,11065,0.034455,0.197697,0.08962,207.14,0,0,0,0,1,0,0,-39.77,-6.52,40.31,0.33,0,0,0,0
11066,11067,0.000227,0.001127,0,0,0,0,0,0,1,0,0,26.38,11.13,-26.38,-11.13,0,0,0,0
11076,11066,0.017556,0.04232,0.0016,60.23,0,0,0,0,1,0,0,14.88,-7.56,-14.83,7.5,0,0,0,0
11066,11295,0.005158,0.01524,0.00089,60.01,0,0,0,0,1,0,0,-15.13,2.34,15.14,-2.4,0,0,0,0
11068,11069,0.000292,0.001165,0,0,0,0,0,0,1,0,0,-33.91,-10.1,33.92,10.11,0,0,0,0
11069,11328,0.033362,0.088688,0.00247,69.28,0,0,0,0,1,0,0,-31.54,9.29,31.88,-8.62,0,0,0,0
11070,11071,0.00022,0.001031,0,0,0,0,0,0,1,0,0,11.72,3.73,-11.72,-3.73,0,0,0,0
11070,11337,0.039905,0.095309,0.00393,50.23,0,0,0,0,1,0,0,-5.94,-4.79,5.96,4.45,0,0,0,0
11072,11073,0.000261,0.001129,0,0,0,0,0,0,1,0,0,-17.96,-1.61,17.96,1.61,0,0,0,0
11079,11073,0.03208,0.094687,0.00248,60.27,0,0,0,0,1,0,0,16.98,10.21,-16.86,-10.12,0,0,0,0
11073,11150,0.038973,0.091373,0.00487,56.16,0,0,0,0,1,0,0,14.98,1.79,-14.89,-2.09,0,0,0,0
11073,11214,0.030003,0.078563,0.00944,52.45,0,0,0,0,1,0,0,-9.49,11.17,9.55,-11.96,0,0,0,0
11073,11328,0.040244,0.096441,0.00809,51.84,0,0,0,0,1,0,0,-6.59,-4.45,6.62,3.67,0,0,0,0
11074,11075,0.000274,0.001156,0,0,0,0,0,0,1,0,0,56.64,20.38,-56.63,-20.34,0,0,0,0
33351,11074,0.040498,0.196119,0.05646,187.64,0,0,0,0,1,0,0,22.97,-0.01,-22.77,-5.01,0,0,0,0
33491,11074,0.019066,0.131937,0.07989,206.17,0,0,0,0,1,0,0,34.1,8.43,-33.87,-15.38,0,0,0,0
11076,11077,0.000215,0.001097,0,0,0,0,0,0,1,0,0,18.78,2.84,-18.77,-2.83,0,0,0,0
11076,11167,0.039116,0.081701,0.00722,79.57,0,0,0,0,1,0,0,-30.49,11.35,30.89,-11.26,0,0,0,0
11076,11167,0.039116,0.081701,0.00722,79.57,0,0,0,0,1,0,0,-30.49,11.35,30.89,-11.26,0,0,0,0
11076,11167,0.039116,0.081701,0.00722,79.57,0,0,0,0,1,0,0,-30.49,11.35,30.89,-11.26,0,0,0,0
11076,11295,0.007619,0.020808,0.00339,63.94,0,0,0,0,1,0,0,20.45,-12.4,-20.41,12.16,0,0,0,0
11079,11078,0.005757,0.132476,0,71.25,0,0,1.0375,0,1,0,0,-16.98,-10.21,17.01,10.74,0,0,0,0
11078,11080,0.000222,0.001036,0,0,0,0,0,0,1,0,0,46.82,12.62,-46.81,-12.6,0,0,0,0
11078,11081,0.000279,0.001011,0,0,0,0,0,0,1,0,0,-63.82,-23.36,63.83,23.41,0,0,0,0
11218,11081,0.006701,0.040696,0.02302,224.95,0,0,0,0,1,0,0,73.47,2.86,-73.12,-3.07,0,0,0,0
11082,11083,0.000218,0.001122,0,0,0,0,0,0,1,0,0,27.43,4.42,-27.43,-4.42,0,0,0,0
11082,11100,0.02825,0.066635,0.00179,62.64,0,0,0,0,1,0,0,23.22,-4.88,-23.07,5.05,0,0,0,0
11082,11141,0.023033,0.075214,0.01395,54.53,0,0,0,0,1,0,0,-11.17,8.48,11.22,-9.79,0,0,0,0
11082,11176,0.03465,0.059597,0.00217,65.12,0,0,0,0,1,0,0,-27.59,-6.44,27.85,6.66,0,0,0,0
11082,11300,0.020956,0.051946,0.00121,55.39,0,0,0,0,1,0,0,-11.89,-1.59,11.92,1.53,0,0,0,0
11090,11084,0.014224,0.042822,0.00214,59.32,0,0,0,0,1,0,0,16.28,3.01,-16.24,-3.12,0,0,0,0
11084,11098,0.022973,0.055587,0.00497,71.23,0,0,0,0,1,0,0,-37.6,-7.54,37.93,7.82,0,0,0,0
11190,11084,0.016333,0.039188,0.00246,51.97,0,0,0,0,1,0,0,-9.08,6.66,9.1,-6.87,0,0,0,0
11085,11088,0.001654,0.048183,0,121.27,0,0,1,0,1,0,0,52.05,5.81,-52.01,-4.56,0,0,0,0
11085,11089,0.00026,0.001066,0,0,0,0,0,0,1,0,0,-52.05,-5.81,52.06,5.84,0,0,0,0
11086,11088,0.003325,0.096862,0,96.27,0,0,1,0,1,0,0,-51.92,-2.05,52.01,4.56,0,0,0,0
11086,11090,0.014457,0.036504,0.00141,65.65,0,0,0,0,1,0,0,26.18,5.93,-26.08,-5.82,0,0,0,0
11086,11093,0.024201,0.059954,0.00266,67.35,0,0,0,0,1,0,0,-29.34,-14.23,29.58,14.55,0,0,0,0
11086,11098,0.010981,0.028501,0.00168,59.49,0,0,0,0,1,0,0,-16.19,-5.73,16.22,5.64,0,0,0,0
11190,11086,0.035444,0.073733,0.00299,64.09,0,0,0,0,1,0,0,-26.29,1.43,26.53,-1.24,0,0,0,0
11087,11088,0.024146,0.703496,0,25,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
11092,11089,0.003483,0.020791,0.00679,218.47,0,0,0,0,1,0,0,41.12,33.42,-41.03,-33.6,0,0,0,0
11146,11089,0.004601,0.021834,0.03793,217.77,0,0,0,0,1,0,0,83.33,-26.39,-83,23.95,0,0,0,0
11219,11089,0.00429,0.026192,0.00937,222.14,0,0,0,0,1,0,0,-71.76,-3.51,71.97,3.81,0,0,0,0
11098,11090,0.016198,0.040277,0.00222,70.01,0,0,0,0,1,0,0,35.23,9.16,-35.03,-8.88,0,0,0,0
11092,11091,0.000369,0.026015,0,569.75,0,0,1.025,0,1,0,0,-195.97,-83.02,196.13,94.54,0,0,0,0
11092,11091,0.000369,0.026015,0,569.75,0,0,1.025,0,1,0,0,-195.97,-83.02,196.13,94.54,0,0,0,0
11092,11091,0.000369,0.026015,0,569.75,0,0,1.025,0,1,0,0,-195.97,-83.02,196.13,94.54,0,0,0,0
11091,11178,0.000405,0.005522,0.12569,1277.72,0,0,0,0,1,0,0,550.36,40.33,-549.21,-38,0,0,0,0
11091,11178,0.000405,0.005522,0.12569,1277.72,0,0,0,0,1,0,0,550.36,40.33,-549.21,-38,0,0,0,0
11383,11091,0.001313,0.016112,0.33683,1325.42,0,0,0,0,1,0,0,709.69,-14.54,-703.55,53.6,0,0,0,0
11383,11091,0.001313,0.016112,0.33683,1325.42,0,0,0,0,1,0,0,709.69,-14.54,-703.55,53.6,0,0,0,0
11426,11091,0.000668,0.007929,0.19477,1137.08,0,0,0,0,1,0,0,282.51,4.61,-282.02,-19.63,0,0,0,0
11093,11092,0.004382,0.140267,0,105.14,0,0,1.0375,0,1,0,0,-49.23,-24.28,49.36,28.52,0,0,0,0
11093,11092,0.004382,0.140267,0,105.14,0,0,1.0375,0,1,0,0,-49.23,-24.28,49.36,28.52,0,0,0,0
11093,11092,0.004382,0.140267,0,105.14,0,0,1.0375,0,1,0,0,-49.23,-24.28,49.36,28.52,0,0,0,0
11093,11092,0.004382,0.140267,0,105.14,0,0,1.0375,0,1,0,0,-49.23,-24.28,49.36,28.52,0,0,0,0
11092,11094,0.000234,0.001092,0,0,0,0,0,0,1,0,0,51.91,27.89,-51.91,-27.85,0,0,0,0
11092,11101,0.002414,0.013749,0.00868,249.95,0,0,0,0,1,0,0,67.71,11.99,-67.61,-12.31,0,0,0,0
11106,11092,0.005572,0.033498,0.02185,188.52,0,0,0,0,1,0,0,8.63,-33.17,-8.57,31.19,0,0,0,0
11092,11168,0.008651,0.045886,0.02578,238.06,0,0,0,0,1,0,0,99.62,9.21,-98.81,-7.66,0,0,0,0
11092,11218,0.011705,0.037036,0.02738,254.61,0,0,0,0,1,0,0,138.69,21.29,-136.54,-17.36,0,0,0,0
11093,11097,0.023203,0.051844,0.00305,68.15,0,0,0,0,1,0,0,27.38,16.26,-27.16,-16.09,0,0,0,0
11098,11093,0.018009,0.040602,0.00474,78.13,0,0,0,0,1,0,0,-32.1,-16.15,32.32,16.14,0,0,0,0
11098,11093,0.018009,0.040602,0.00474,78.13,0,0,0,0,1,0,0,-32.1,-16.15,32.32,16.14,0,0,0,0
11098,11093,0.018009,0.040602,0.00474,78.13,0,0,0,0,1,0,0,-32.1,-16.15,32.32,16.14,0,0,0,0
11300,11093,0.011412,0.026696,0.00274,108.4,0,0,0,0,1,0,0,-42.73,-17.62,42.97,17.87,0,0,0,0
11108,11095,0.007596,0.018339,0.00123,68.59,0,0,0,0,1,0,0,4.63,-3.34,-4.62,3.21,0,0,0,0
11095,11176,0.019782,0.04579,0.00745,73.02,0,0,0,0,1,0,0,-41.56,-17.91,41.95,18.02,0,0,0,0
11095,11225,0.021168,0.067028,0.00382,63.21,0,0,0,0,1,0,0,19.96,10.35,-19.86,-10.42,0,0,0,0
11095,11300,0.034849,0.085022,0.00153,55.24,0,0,0,0,1,0,0,-9.81,-3.4,9.85,3.33,0,0,0,0
11096,11205,0.031926,0.043095,0.0178,63.66,0,0,0,0,1,0,0,-28.03,6.02,28.28,-7.53,0,0,0,0
11358,11096,0.017365,0.03308,0.00149,51.36,0,0,0,0,1,0,0,8.03,8.61,-8.01,-8.72,0,0,0,0
11097,11104,0.03121,0.072237,0.00528,62,0,0,0,0,1,0,0,-25.7,-3.14,25.9,3.05,0,0,0,0
11097,11108,0.01355,0.030952,0.00291,56.68,0,0,0,0,1,0,0,15.42,-2.19,-15.39,1.96,0,0,0,0
11098,11099,0.000273,0.001183,0,0,0,0,0,0,1,0,0,37.44,14.47,-37.44,-14.45,0,0,0,0
11098,11214,0.029387,0.079619,0.01173,75.87,0,0,0,0,1,0,0,33.61,6.12,-33.28,-6.44,0,0,0,0
11098,11214,0.029387,0.079619,0.01173,75.87,0,0,0,0,1,0,0,33.61,6.12,-33.28,-6.44,0,0,0,0
11098,11331,0.026647,0.070878,0.00852,80.53,0,0,0,0,1,0,0,-32.59,-0.29,32.86,0.11,0,0,0,0
11098,11331,0.026647,0.070878,0.00852,80.53,0,0,0,0,1,0,0,-32.59,-0.29,32.86,0.11,0,0,0,0
11098,11331,0.026647,0.070878,0.00852,80.53,0,0,0,0,1,0,0,-32.59,-0.29,32.86,0.11,0,0,0,0
11100,11167,0.021715,0.065944,0.00456,53.33,0,0,0,0,1,0,0,8.07,-6.48,-8.05,6.07,0,0,0,0
11100,11169,0.024477,0.064572,0.00371,48.74,0,0,0,0,1,0,0,-1.55,-6.08,1.56,5.72,0,0,0,0
11100,11176,0.024018,0.062098,0.0011,110.74,0,0,0,0,1,0,0,-52.51,-5.74,53.16,7.29,0,0,0,0
11190,11100,0.023553,0.064709,0.00621,54.02,0,0,0,0,1,0,0,-7.01,-10.04,7.04,9.49,0,0,0,0
11328,11100,0.017313,0.048474,0.00622,58.75,0,0,0,0,1,0,0,-16.26,9.25,16.32,-9.73,0,0,0,0
11101,11102,0.000242,0.001034,0,0,0,0,0,0,1,0,0,45.7,10.16,-45.7,-10.14,0,0,0,0
11175,11101,0.005579,0.028054,0.00974,257.62,0,0,0,0,1,0,0,-29.78,2.27,29.83,-3.07,0,0,0,0
33212,11101,0.024397,0.144546,0.02875,184.35,0,0,0,0,1,0,0,27.17,-6.32,-27,4.28,0,0,0,0
33236,11101,0.020558,0.111363,0.03978,201.98,0,0,0,0,1,0,0,-19.01,-4.78,19.08,0.94,0,0,0,0
11104,11103,0.007712,0.230325,0,84.33,0,0,1.04375,0,1,0,0,-28,-14.56,28.08,16.91,0,0,0,0
11103,11105,0.000269,0.001081,0,0,0,0,0,0,1,0,0,33.39,7.74,-33.39,-7.73,0,0,0,0
11103,11106,0.000299,0.001135,0,0,0,0,0,0,1,0,0,-67.54,-25.91,67.55,25.96,0,0,0,0
11103,11107,0.000279,0.001189,0,0,0,0,0,0,1,0,0,6.07,1.26,-6.07,-1.26,0,0,0,0
11104,11135,0.032316,0.073925,0.0038,58.91,0,0,0,0,1,0,0,-19.9,11.64,20.06,-11.67,0,0,0,0
11187,11104,0.022475,0.06114,0.01068,65.22,0,0,0,0,1,0,0,-21.9,-0.72,22,-0.13,0,0,0,0
11136,11106,0.006869,0.039399,0.00851,215.66,0,0,0,0,1,0,0,76.56,-5.91,-76.18,7.2,0,0,0,0
11108,11300,0.014227,0.033096,0.00237,64.59,0,0,0,0,1,0,0,-22.63,-10.02,22.71,9.97,0,0,0,0
11109,11151,0.018627,0.085447,0.02205,222.41,0,0,0,0,1,0,0,66.21,-14.15,-65.39,15.61,0,0,0,0
11448,11109,0.02237,0.08867,0.0745,241.56,0,0,0,0,1,0,0,102.02,-8.21,-99.84,9.02,0,0,0,0
11111,11110,0.006354,0.156742,0,101.93,0,0,1.025,0,1,0,0,-30.48,-8.94,30.54,10.5,0,0,0,0
11111,11110,0.006354,0.156742,0,101.93,0,0,1.025,0,1,0,0,-30.48,-8.94,30.54,10.5,0,0,0,0
11111,11110,0.006354,0.156742,0,101.93,0,0,1.025,0,1,0,0,-30.48,-8.94,30.54,10.5,0,0,0,0
11110,11112,0.00027,0.001069,0,0,0,0,0,0,1,0,0,-91.62,-31.5,91.65,31.59,0,0,0,0
11124,11111,0.006678,0.017379,0.00064,71.57,0,0,0,0,1,0,0,-40.49,-8.52,40.6,8.73,0,0,0,0
11116,11112,0.003154,0.019015,0.00691,217.26,0,0,0,0,1,0,0,-52.51,1.56,52.59,-1.78,0,0,0,0
11117,11112,0.006512,0.031416,0.01673,248.94,0,0,0,0,1,0,0,67.97,-16.79,-67.67,16.49,0,0,0,0
11112,11424,0.003892,0.020421,0.03045,230.82,0,0,0,0,1,0,0,-76.57,-46.3,76.86,44.59,0,0,0,0
11114,11113,0.006293,0.15385,0,71.95,0,0,1.01875,0,1,0,0,-16.38,-6.72,16.4,7.19,0,0,0,0
11113,11115,0.000223,0.001004,0,0,0,0,0,0,1,0,0,50.84,4.55,-50.83,-4.52,0,0,0,0
11113,11116,0.000236,0.00105,0,0,0,0,0,0,1,0,0,-67.24,-11.74,67.25,11.79,0,0,0,0
