GEN_BUS,PG,QG,QMAX,QMIN,VG,MBASE,GEN_STATUS,PMAX,PMIN,PC1,PC2,QC1MIN,QC1MAX,QC2MIN,QC2MAX,RAMP_AGC,RAMP_10,RAMP_30,RAMP_Q,APF,MU_PMAX,MU_PMIN,MU_QMAX,MU_QMIN
11332,0,0,0.84,-0.22,1.04,2.16,0,1.8,0.19,0,0,0,0,0,0,0,0,0,0,1.8,0,0,0,0
11333,4.3,-0.21,1.65,-0.21,1.045,5.16,1,4.3,2.01,0,0,0,0,0,0,0,0,0,0,4.3,0,0,0,0
11334,1.43,1.35,1.35,-0.35,1.039,3.48,1,2.9,1.43,0,0,0,0,0,0,0,0,0,0,2.9,0,0,0,0
11334,0,0,1.35,-0.35,1.039,3.48,0,2.9,1.19,0,0,0,0,0,0,0,0,0,0,2.9,0,0,0,0
11336,1.1,0.42,0.42,-0.05,1.0372,1.32,1,1.1,0.38,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0
11339,15,-0.74,5.76,-0.74,1.0305,18,1,15,3.88,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0
11340,15,-0.74,5.76,-0.74,1.0177,18,1,15,2.94,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0
11340,15,-0.74,5.76,-0.74,1.0177,18,1,15,2.83,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0
11341,0,0,5.76,-0.74,1.0499,18,0,15,6.36,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0
11348,1,0.38,0.38,-0.05,1.0396,1.2,1,1,0.35,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11355,0.6,0.23,0.23,-0.03,1.0171,0.72,1,0.6,0.19,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0
11356,0.6,0.23,0.23,-0.03,1.0184,0.72,1,0.6,0.19,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0
11356,0.6,0.23,0.23,-0.03,1.0184,0.72,1,0.6,0.22,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0
11357,0.6,0.23,0.23,-0.03,1.0187,0.72,1,0.6,0.2,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0
11362,0.7,0.27,0.27,-0.03,1.0625,0.84,1,0.7,0.3,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0
11363,0.7,0.27,0.27,-0.03,1.0633,0.84,1,0.7,0.1,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0
11365,0,0,0.61,-0.16,1.04,1.56,0,1.3,0.61,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0
11366,0,0,0.61,-0.16,1.0166,1.56,0,1.3,0.58,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0
11367,0,0,0.61,-0.16,1.0166,1.56,0,1.3,0.36,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0
11372,193.5,14.41,74.3,-9.48,1.0439,232.2,1,193.5,39.82,0,0,0,0,0,0,0,0,0,0,193.5,0,0,0,0
11373,0,0,74.3,-9.48,1.04,232.2,0,193.5,31.96,0,0,0,0,0,0,0,0,0,0,193.5,0,0,0,0
11374,193.5,14.41,74.3,-9.48,1.0439,232.2,1,193.5,31.34,0,0,0,0,0,0,0,0,0,0,193.5,0,0,0,0
11375,193.5,14.41,74.3,-9.48,1.0449,232.2,1,193.5,40.92,0,0,0,0,0,0,0,0,0,0,193.5,0,0,0,0
11380,888.9,68.93,327.12,-72.89,1.0468,1066.68,1,888.9,358.44,0,0,0,0,0,0,0,0,0,0,888.9,0,0,0,0
11381,888.9,68.93,327.12,-72.89,1.0465,1066.68,1,888.9,250.85,0,0,0,0,0,0,0,0,0,0,888.9,0,0,0,0
11382,888.9,68.93,327.12,-72.89,1.0464,1066.68,1,888.9,196.87,0,0,0,0,0,0,0,0,0,0,888.9,0,0,0,0
11389,197,-15.11,100.27,-21.87,1.0355,236.4,1,197,89.23,0,0,0,0,0,0,0,0,0,0,197,0,0,0,0
11390,197,-15.11,100.27,-21.87,1.035,236.4,1,197,84.26,0,0,0,0,0,0,0,0,0,0,197,0,0,0,0
11391,197,-15.11,100.27,-21.87,1.0361,236.4,1,197,82.38,0,0,0,0,0,0,0,0,0,0,197,0,0,0,0
11392,197,-15.11,100.27,-21.87,1.0353,236.4,1,197,26.04,0,0,0,0,0,0,0,0,0,0,197,0,0,0,0
11393,197,-15.11,100.27,-21.87,1.0368,236.4,1,197,33.65,0,0,0,0,0,0,0,0,0,0,197,0,0,0,0
11396,0,0,0.64,-0.08,1.038,2.01,0,1.68,0.36,0,0,0,0,0,0,0,0,0,0,1.675,0,0,0,0
11396,0,0,0.64,-0.08,1.038,2.01,0,1.68,0.44,0,0,0,0,0,0,0,0,0,0,1.675,0,0,0,0
11396,1.68,-0.08,0.64,-0.08,1.038,2.01,1,1.68,0.56,0,0,0,0,0,0,0,0,0,0,1.675,0,0,0,0
11396,1.68,-0.08,0.64,-0.08,1.038,2.01,1,1.68,0.29,0,0,0,0,0,0,0,0,0,0,1.675,0,0,0,0
11397,3.3,1.27,1.27,-0.16,1.0455,3.96,1,3.3,0.44,0,0,0,0,0,0,0,0,0,0,3.3,0,0,0,0
11401,3.1,0.45,1.19,-0.15,1.0208,3.72,1,3.1,0.83,0,0,0,0,0,0,0,0,0,0,3.1,0,0,0,0
11402,0,0,1.19,-0.15,1.0196,3.72,0,3.1,0.98,0,0,0,0,0,0,0,0,0,0,3.1,0,0,0,0
11406,0,0,0.77,-0.2,1.027,1.98,0,1.65,0.66,0,0,0,0,0,0,0,0,0,0,1.65,0,0,0,0
11406,1.65,0.77,0.77,-0.2,1.027,1.98,1,1.65,0.19,0,0,0,0,0,0,0,0,0,0,1.65,0,0,0,0
11407,0,0,0.23,-0.06,1.0276,0.6,0,0.5,0.24,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0
11407,0.5,0.23,0.23,-0.06,1.0276,0.6,1,0.5,0.21,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0
11412,3,-0.15,1.15,-0.15,1.043,3.6,1,3,1.35,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
11412,3,-0.15,1.15,-0.15,1.043,3.6,1,3,0.68,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
11412,3,-0.15,1.15,-0.15,1.043,3.6,1,3,0.34,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
11412,3,-0.15,1.15,-0.15,1.043,3.6,1,3,0.92,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
11412,0,0,1.15,-0.15,1.043,3.6,0,3,1.33,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
11412,0,0,1.15,-0.15,1.043,3.6,0,3,0.73,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
11415,0,0,1.35,-0.35,1.0051,3.48,0,2.9,1.16,0,0,0,0,0,0,0,0,0,0,2.9,0,0,0,0
11417,2.9,1.35,1.35,-0.35,1.04,3.48,1,2.9,1.35,0,0,0,0,0,0,0,0,0,0,2.9,0,0,0,0
11421,175,89.07,89.07,-19.43,1.0091,210,1,175,83.09,0,0,0,0,0,0,0,0,0,0,175,0,0,0,0
11422,54,27.49,27.49,-5.99,1.0073,64.8,1,54,15.82,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0
11423,54,27.49,27.49,-5.99,1.0116,64.8,1,54,26.7,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0
11433,1205.1,207.63,443.48,-98.82,1.0524,1446.12,1,1205.1,277.37,0,0,0,0,0,0,0,0,0,0,1205.1,0,0,0,0
11434,1205.1,207.63,443.48,-98.82,1.0542,1446.12,1,1205.1,391.05,0,0,0,0,0,0,0,0,0,0,1205.1,0,0,0,0
11440,173.33,17.32,88.23,-19.24,0.9859,208,1,173.33,65.27,0,0,0,0,0,0,0,0,0,0,173.3333,0,0,0,0
11441,173.33,17.32,88.23,-19.24,0.9847,208,1,173.33,65.22,0,0,0,0,0,0,0,0,0,0,173.3333,0,0,0,0
11442,173.33,17.32,88.23,-19.24,0.9874,208,1,173.33,80.1,0,0,0,0,0,0,0,0,0,0,173.3333,0,0,0,0
11443,116.4,17.32,59.25,-12.92,0.9873,139.68,1,116.4,17.44,0,0,0,0,0,0,0,0,0,0,116.4,0,0,0,0
11444,116.4,17.32,59.25,-12.92,0.9871,139.68,1,116.4,32.21,0,0,0,0,0,0,0,0,0,0,116.4,0,0,0,0
11445,116.4,17.32,59.25,-12.92,0.9867,139.68,1,116.4,18.13,0,0,0,0,0,0,0,0,0,0,116.4,0,0,0,0
11446,116.4,17.32,59.25,-12.92,0.9881,139.68,1,116.4,45.3,0,0,0,0,0,0,0,0,0,0,116.4,0,0,0,0
11447,116.4,17.32,59.25,-12.92,0.9874,139.68,1,116.4,28.67,0,0,0,0,0,0,0,0,0,0,116.4,0,0,0,0
11452,5,1.92,1.92,-0.25,1.0016,6,1,5,1.65,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
11453,5,1.92,1.92,-0.25,0.9999,6,1,5,2.04,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
11453,5,1.92,1.92,-0.25,0.9999,6,1,5,2.16,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
11457,1.6,0.81,0.81,-0.18,1.0138,1.92,1,1.6,0.52,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0
11457,1.6,0.81,0.81,-0.18,1.0138,1.92,1,1.6,0.72,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0
11459,78.8,1.42,30.26,-3.86,1.036,94.56,1,78.8,21.14,0,0,0,0,0,0,0,0,0,0,78.8,0,0,0,0
11459,78.8,1.42,30.26,-3.86,1.036,94.56,1,78.8,33.13,0,0,0,0,0,0,0,0,0,0,78.8,0,0,0,0
11467,0,0,124.42,-15.88,1.041,388.8,0,324,38.46,0,0,0,0,0,0,0,0,0,0,324,0,0,0,0
11468,324,47.33,124.42,-15.88,1.0485,388.8,1,324,79.56,0,0,0,0,0,0,0,0,0,0,324,0,0,0,0
11469,324,47.33,124.42,-15.88,1.0522,388.8,1,324,128.82,0,0,0,0,0,0,0,0,0,0,324,0,0,0,0
11470,324,47.33,124.42,-15.88,1.0486,388.8,1,324,83.92,0,0,0,0,0,0,0,0,0,0,324,0,0,0,0
11472,0.62,0.93,0.93,-0.24,1.0135,2.4,1,2,0.62,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
11472,0,0,0.93,-0.24,1.0135,2.4,0,2,0.61,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
11473,0,0,0.93,-0.24,0.9976,2.4,0,2,0.3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
11473,0,0,0.93,-0.24,0.9976,2.4,0,2,0.62,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
11474,0,0,0.93,-0.24,0.9976,2.4,0,2,0.62,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
11479,1,-0.05,0.38,-0.05,1.0419,1.2,1,1,0.27,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11480,0,0,0.38,-0.05,1.029,1.2,0,1,0.19,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11481,1,-0.05,0.38,-0.05,1.0421,1.2,1,1,0.22,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11481,1,-0.05,0.38,-0.05,1.0421,1.2,1,1,0.25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11485,5,2.55,2.55,-0.55,1.04,6,1,5,1.95,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
11485,5,2.55,2.55,-0.55,1.04,6,1,5,1.07,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
11487,1.12,1.35,1.35,-0.35,1.041,3.48,1,2.9,1.12,0,0,0,0,0,0,0,0,0,0,2.9,0,0,0,0
11491,133.2,52.69,67.8,-14.79,1.0051,159.84,1,133.2,53.14,0,0,0,0,0,0,0,0,0,0,133.2,0,0,0,0
11492,133.2,52.69,67.8,-14.79,1.007,159.84,1,133.2,25.86,0,0,0,0,0,0,0,0,0,0,133.2,0,0,0,0
11493,133.2,52.69,67.8,-14.79,1.0045,159.84,1,133.2,21.19,0,0,0,0,0,0,0,0,0,0,133.2,0,0,0,0
11494,133.2,52.69,67.8,-14.79,1.0056,159.84,1,133.2,58.12,0,0,0,0,0,0,0,0,0,0,133.2,0,0,0,0
11495,133.2,52.69,67.8,-14.79,1.0035,159.84,1,133.2,37.14,0,0,0,0,0,0,0,0,0,0,133.2,0,0,0,0
11496,133.2,52.69,67.8,-14.79,1.0047,159.84,1,133.2,40.72,0,0,0,0,0,0,0,0,0,0,133.2,0,0,0,0
11499,0.6,0.23,0.23,-0.03,1.045,0.72,1,0.6,0.16,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0
11499,0.6,0.23,0.23,-0.03,1.045,0.72,1,0.6,0.09,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0
14176,46.33,23.58,23.58,-5.14,1.0069,55.6,1,46.33,20.91,0,0,0,0,0,0,0,0,0,0,46.3333,0,0,0,0
14177,46.33,23.58,23.58,-5.14,1.0052,55.6,1,46.33,17.51,0,0,0,0,0,0,0,0,0,0,46.3333,0,0,0,0
14177,46.33,23.58,23.58,-5.14,1.0052,55.6,1,46.33,15.03,0,0,0,0,0,0,0,0,0,0,46.3333,0,0,0,0
14179,14.4,7.33,7.33,-1.6,1.0425,17.28,1,14.4,3.8,0,0,0,0,0,0,0,0,0,0,14.4,0,0,0,0
14179,14.4,7.33,7.33,-1.6,1.0425,17.28,1,14.4,6.41,0,0,0,0,0,0,0,0,0,0,14.4,0,0,0,0
14182,1.8,-0.2,0.92,-0.2,1.0268,2.16,1,1.8,0.59,0,0,0,0,0,0,0,0,0,0,1.8,0,0,0,0
14183,0,0,0.92,-0.2,1.0269,2.16,0,1.8,0.42,0,0,0,0,0,0,0,0,0,0,1.8,0,0,0,0
14184,0,0,0.92,-0.2,1.0269,2.16,0,1.8,0.22,0,0,0,0,0,0,0,0,0,0,1.8,0,0,0,0
14188,0,0,0.7,-0.18,1.04,1.8,0,1.5,0.71,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0
14188,0,0,0.7,-0.18,1.04,1.8,0,1.5,0.45,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0
14188,0,0,0.7,-0.18,1.04,1.8,0,1.5,0.46,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0
14188,0,0,0.7,-0.18,1.04,1.8,0,1.5,0.19,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0
14190,0,0,24.7,-6.47,1.04,63.6,0,53,22.65,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0
14190,0,0,24.7,-6.47,1.04,63.6,0,53,8.74,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0
14190,0,0,24.7,-6.47,1.04,63.6,0,53,13.82,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0
14190,0,0,24.7,-6.47,1.04,63.6,0,53,13.2,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0
14199,11.4,0,0,0,1.0343,13.68,1,11.4,4.81,0,0,0,0,0,0,0,0,0,0,11.4,0,0,0,0
14202,0,0,0,0,1.0277,2.28,0,1.9,0.68,0,0,0,0,0,0,0,0,0,0,1.9,0,0,0,0
14202,1.8,0,0,0,1.0277,2.16,1,1.8,0.54,0,0,0,0,0,0,0,0,0,0,1.8,0,0,0,0
14206,1,0,0,0,1.0213,1.2,1,1,0.22,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
14207,1.3,0,0,0,1.0213,1.56,1,1.3,0.5,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0
14209,0,0,0,0,1.0213,4.92,0,4.1,1.17,0,0,0,0,0,0,0,0,0,0,4.1,0,0,0,0
14212,1.5,0.76,0.76,-0.17,1.04,1.8,1,1.5,0.24,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0
14212,0,0,0.76,-0.17,1.04,1.8,0,1.5,0.6,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0
14212,0,0,0.76,-0.17,1.04,1.8,0,1.5,0.7,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0
14213,1.5,0.76,0.76,-0.17,1.0547,1.8,1,1.5,0.51,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0
14214,1.5,0.76,0.76,-0.17,1.0547,1.8,1,1.5,0.19,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0
14216,68.2,-7.57,34.71,-7.57,1.0365,81.84,1,68.2,29.15,0,0,0,0,0,0,0,0,0,0,68.2,0,0,0,0
14219,0,0,0.93,-0.24,1.04,2.4,0,2,0.59,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
14219,0,0,0.93,-0.24,1.04,2.4,0,2,0.2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
14219,0,0,0.93,-0.24,1.04,2.4,0,2,0.5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
14221,0,0,0.25,-0.06,1.04,0.6,0,0.5,0.14,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0
14221,0,0,0.25,-0.06,1.04,0.6,0,0.5,0.13,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0
14221,14,7.13,7.13,-1.55,1.04,16.8,1,14,6.59,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0
14222,0.5,0.25,0.25,-0.06,1.0354,0.6,1,0.5,0.11,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0
14223,0.5,0.25,0.25,-0.06,1.0354,0.6,1,0.5,0.12,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0
14228,5.3,0.92,2.7,-0.59,1.0416,6.36,1,5.3,1.78,0,0,0,0,0,0,0,0,0,0,5.3,0,0,0,0
14228,5.3,0.92,2.7,-0.59,1.0416,6.36,1,5.3,1.77,0,0,0,0,0,0,0,0,0,0,5.3,0,0,0,0
14232,17.5,8.91,8.91,-1.94,1.0649,21,1,17.5,5.94,0,0,0,0,0,0,0,0,0,0,17.5,0,0,0,0
14233,17.5,8.91,8.91,-1.94,1.0649,21,1,17.5,2.16,0,0,0,0,0,0,0,0,0,0,17.5,0,0,0,0
14239,100.83,20.16,51.32,-11.19,1.0438,121,1,100.83,44.87,0,0,0,0,0,0,0,0,0,0,100.8333,0,0,0,0
14240,100.83,20.16,51.32,-11.19,1.0428,121,1,100.83,40.31,0,0,0,0,0,0,0,0,0,0,100.8333,0,0,0,0
14241,100.83,20.16,51.32,-11.19,1.042,121,1,100.83,45.93,0,0,0,0,0,0,0,0,0,0,100.8333,0,0,0,0
14242,100.83,20.16,51.32,-11.19,1.0442,121,1,100.83,13.81,0,0,0,0,0,0,0,0,0,0,100.8333,0,0,0,0
14243,100.83,20.16,51.32,-11.19,1.0429,121,1,100.83,44.78,0,0,0,0,0,0,0,0,0,0,100.8333,0,0,0,0
14244,100.83,20.16,51.32,-11.19,1.0429,121,1,100.83,21.9,0,0,0,0,0,0,0,0,0,0,100.8333,0,0,0,0
14249,18.5,8.62,8.62,-2.26,1.042,22.2,1,18.5,5.74,0,0,0,0,0,0,0,0,0,0,18.5,0,0,0,0
14251,2.4,0.75,1.22,-0.27,1.041,2.88,1,2.4,0.46,0,0,0,0,0,0,0,0,0,0,2.4,0,0,0,0
14251,2.4,0.75,1.22,-0.27,1.041,2.88,1,2.4,0.94,0,0,0,0,0,0,0,0,0,0,2.4,0,0,0,0
14251,2.4,0.75,1.22,-0.27,1.041,2.88,1,2.4,0.29,0,0,0,0,0,0,0,0,0,0,2.4,0,0,0,0
14251,2.4,0.75,1.22,-0.27,1.041,2.88,1,2.4,1.07,0,0,0,0,0,0,0,0,0,0,2.4,0,0,0,0
14251,2.4,0.75,1.22,-0.27,1.041,2.88,1,2.4,0.92,0,0,0,0,0,0,0,0,0,0,2.4,0,0,0,0
14251,2.4,0.75,1.22,-0.27,1.041,2.88,1,2.4,0.6,0,0,0,0,0,0,0,0,0,0,2.4,0,0,0,0
14253,3,0,0,0,1.0316,3.6,1,3,1.08,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
14253,3,0,0,0,1.0316,3.6,1,3,1.09,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
14258,191.5,29.43,97.47,-21.26,1.0608,229.8,1,191.5,50.83,0,0,0,0,0,0,0,0,0,0,191.5,0,0,0,0
14259,191.5,29.43,97.47,-21.26,1.0611,229.8,1,191.5,94.76,0,0,0,0,0,0,0,0,0,0,191.5,0,0,0,0
14263,0,0,0,0,1.04,1.32,0,1.1,0.36,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0
14263,0,0,0,0,1.04,1.68,0,1.4,0.27,0,0,0,0,0,0,0,0,0,0,1.4,0,0,0,0
14263,1.4,0,0,0,1.04,1.68,1,1.4,0.19,0,0,0,0,0,0,0,0,0,0,1.4,0,0,0,0
14264,1.2,0,0,0,1.04,1.44,1,1.2,0.35,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0
14264,4,0,0,0,1.04,4.8,1,4,1.97,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
14268,37.14,18.9,18.9,-4.12,1.0444,44.57,1,37.14,14.47,0,0,0,0,0,0,0,0,0,0,37.14,0,0,0,0
14269,37.14,18.9,18.9,-4.12,1.0444,44.57,1,37.14,18.12,0,0,0,0,0,0,0,0,0,0,37.14,0,0,0,0
14271,60.5,30.79,30.79,-6.72,1.0477,72.6,1,60.5,15.4,0,0,0,0,0,0,0,0,0,0,60.5,0,0,0,0
14272,60.5,30.79,30.79,-6.72,1.0479,72.6,1,60.5,8.36,0,0,0,0,0,0,0,0,0,0,60.5,0,0,0,0
14273,60.5,30.79,30.79,-6.72,1.0461,72.6,1,60.5,17.58,0,0,0,0,0,0,0,0,0,0,60.5,0,0,0,0
14274,60.5,30.79,30.79,-6.72,1.0455,72.6,1,60.5,8.23,0,0,0,0,0,0,0,0,0,0,60.5,0,0,0,0
14275,37.14,18.9,18.9,-4.12,1.0482,44.57,1,37.14,13.94,0,0,0,0,0,0,0,0,0,0,37.14,0,0,0,0
14275,37.14,18.9,18.9,-4.12,1.0482,44.57,1,37.14,5.74,0,0,0,0,0,0,0,0,0,0,37.14,0,0,0,0
14276,37.14,18.9,18.9,-4.12,1.0457,44.57,1,37.14,4.39,0,0,0,0,0,0,0,0,0,0,37.14,0,0,0,0
14280,6,3.05,3.05,-0.67,1.04,7.2,1,6,0.64,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
14283,5.1,2.6,2.6,-0.57,1.04,6.12,1,5.1,1.02,0,0,0,0,0,0,0,0,0,0,5.1,0,0,0,0
14283,5.1,2.6,2.6,-0.57,1.04,6.12,1,5.1,1.44,0,0,0,0,0,0,0,0,0,0,5.1,0,0,0,0
14284,2.4,1.22,1.22,-0.27,1.04,2.88,1,2.4,0.5,0,0,0,0,0,0,0,0,0,0,2.4,0,0,0,0
14284,0,0,1.37,-0.3,1.04,3.24,0,2.7,0.97,0,0,0,0,0,0,0,0,0,0,2.7,0,0,0,0
14284,3,1.53,1.53,-0.33,1.04,3.6,1,3,0.87,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
14286,0,0,0,0,1.04,6,0,5,1.53,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
14287,4.1,2.09,2.09,-0.46,1.04,4.92,1,4.1,0.74,0,0,0,0,0,0,0,0,0,0,4.1,0,0,0,0
