BUS_I,BUS_TYPE,PD,QD,GS,BS,BUS_AREA,VM,VA,BASE_KV,ZONE,VMAX,VMIN,LAM_P,LAM_Q,MU_VMAX,MU_VMIN
11051,1,50.26,13.62,0,0,11,1.0382306,-13.642724,69,1,1.1,0.9,26.72,0.21,0,0
11052,1,39.39,5.71,0,0,11,1.0130115,-10.592939,138,1,1.1,0.9,26.78,0.23,0,0
11053,1,0,0,0,0,11,1.0063804,-10.574038,138,1,1.1,0.9,26.8,0.28,0,0
11054,1,0,0,0,0,11,1.0218803,-12.419252,69,1,1.1,0.9,27.11,0.25,0,0
11055,1,39.17,19.43,0,0,11,1.0060898,-10.5941,138,1,1.1,0.9,26.8,0.28,0,0
11056,1,10.85,1.44,0,0,11,1.0070031,-14.293627,69,1,1.1,0.9,27.65,0.38,0,0
11057,1,0,0,0,21,11,1.0256456,-13.93634,69,1,1.1,0.9,27.64,-0.11,0,0
11058,1,20.99,2.31,0,0,11,1.0255791,-13.948319,69,1,1.1,0.9,27.65,-0.11,0,0
11059,1,0,0,0,0,11,1.0254721,-13.919817,69,1,1.1,0.9,27.64,-0.11,0,0
11060,1,0,0,0,0,11,1.0256456,-13.93634,69,1,1.1,0.9,27.64,-0.11,0,0
11061,1,0,0,0,0,11,1.0309561,-4.042278,345,1,1.1,0.9,25.91,0.12,0,0
11062,1,0,0,0,0,11,1.0280604,-6.389789,138,1,1.1,0.9,26.01,0.18,0,0
11063,1,0,0,0,0,11,1.0228045,-9.608123,69,1,1.1,0.9,26.21,0.37,0,0
11064,1,54.54,14.88,0,0,11,1.0306505,-4.074937,345,1,1.1,0.9,25.92,0.12,0,0
11065,1,0,0,0,0,11,1.0277983,-6.454953,138,1,1.1,0.9,26.03,0.18,0,0
11066,1,0,0,0,0,11,1.0201692,-12.749843,69,1,1.1,0.9,27.25,0.22,0,0
11067,1,26.38,11.13,0,0,11,1.0199875,-12.764822,69,1,1.1,0.9,27.26,0.22,0,0
11068,1,33.91,10.1,0,0,11,1.018919,-12.598819,69,1,1.1,0.9,27.18,0.33,0,0
11069,1,0,0,0,0,11,1.0191316,-12.578639,69,1,1.1,0.9,27.17,0.33,0,0
11070,1,0,0,0,0,11,1.006399,-14.56706,69,1,1.1,0.9,27.7,0.39,0,0
11071,1,11.72,3.73,0,0,11,1.0063351,-14.573428,69,1,1.1,0.9,27.7,0.39,0,0
11072,1,17.96,1.61,0,0,11,1.0151965,-11.139024,69,1,1.1,0.9,26.89,0.41,0,0
11073,1,0,0,0,0,11,1.0152606,-11.127978,69,1,1.1,0.9,26.88,0.41,0,0
11074,1,0,0,0,0,11,1.0235617,-13.505709,138,1,1.1,0.9,26.91,0.19,0,0
11075,1,56.63,20.34,0,0,11,1.0231798,-13.538473,138,1,1.1,0.9,26.92,0.19,0,0
11076,1,0,0,0,0,11,1.0196018,-12.330658,69,1,1.1,0.9,27.17,0.25,0,0
11077,1,18.77,2.83,0,0,11,1.0195316,-12.341673,69,1,1.1,0.9,27.17,0.25,0,0
11078,1,0,0,0,0,11,1.0076138,-9.17367,138,1,1.1,0.9,26.7,0.3,0,0
11079,1,0,0,0,0,11,1.0299855,-10.428734,69,1,1.1,0.9,26.67,0.27,0,0
11080,1,46.81,12.6,0,0,11,1.007381,-9.199459,138,1,1.1,0.9,26.7,0.31,0,0
11081,1,0,0,0,0,11,1.0080251,-9.140952,138,1,1.1,0.9,26.69,0.3,0,0
11082,1,0,0,0,0,11,1.0231339,-9.418213,69,1,1.1,0.9,26.4,0.38,0,0
11083,1,27.43,4.42,0,0,11,1.0230268,-9.434535,69,1,1.1,0.9,26.4,0.38,0,0
11084,1,44.74,17.52,0,0,11,1.0109697,-10.205343,69,1,1.1,0.9,26.69,0.51,0,0
11085,1,0,0,0,0,11,1.0284578,-5.250251,138,1,1.1,0.9,25.94,0.19,0,0
11086,1,44.74,17.31,0,0,11,1.0203702,-9.359944,69,1,1.1,0.9,26.32,0.42,0,0
11087,1,0,0,0,0,11,1.0251874,-6.60801,13.8,1,1.1,0.9,26.06,0.27,0,0
11088,1,0,0,0,0,11,1.0251874,-6.60801,1,1,1.1,0.9,26.06,0.27,0,0
11089,1,0,0,0,0,11,1.0286494,-5.221032,138,1,1.1,0.9,25.94,0.19,0,0
11090,1,44.83,11.68,0,0,11,1.0145498,-9.840847,69,1,1.1,0.9,26.55,0.47,0,0
11091,1,0,0,0,422,11,1.0347752,-2.049822,345,1,1.1,0.9,25.71,0.11,0,0
11092,1,0,0,0,0,11,1.0367815,-4.824996,138,1,1.1,0.9,25.8,0.15,0,0
11093,1,0,0,0,0,11,1.035699,-8.591163,69,1,1.1,0.9,25.98,0.24,0,0
11094,1,51.91,27.85,0,0,11,1.036371,-4.851741,138,1,1.1,0.9,25.8,0.16,0,0
11095,1,36.04,7.74,0,0,11,1.0202187,-9.491759,69,1,1.1,0.9,26.43,0.42,0,0
11096,1,36.04,2.7,0,0,11,1.0190644,-9.218836,69,1,1.1,0.9,26.52,0.35,0,0
11097,1,37.44,21.43,0,0,11,1.0213898,-9.153647,69,1,1.1,0.9,26.32,0.41,0,0
11098,1,0,0,0,0,11,1.0236973,-9.140788,69,1,1.1,0.9,26.26,0.38,0,0
11099,1,37.44,14.45,0,0,11,1.0234304,-9.162858,69,1,1.1,0.9,26.27,0.38,0,0
11100,1,45.7,13.49,0,0,11,1.0199732,-10.342084,69,1,1.1,0.9,26.63,0.38,0,0
11101,1,0,0,0,0,11,1.0335897,-5.306703,138,1,1.1,0.9,25.88,0.18,0,0
11102,1,45.7,10.14,0,0,11,1.0333812,-5.330745,138,1,1.1,0.9,25.89,0.18,0,0
11103,1,0,0,0,0,11,1.0263122,-4.610861,138,1,1.1,0.9,25.84,0.2,0,0
11104,1,0,0,0,0,11,1.0314159,-8.192753,69,1,1.1,0.9,25.94,0.29,0,0
11105,1,33.39,7.73,0,0,11,1.0261433,-4.629373,138,1,1.1,0.9,25.84,0.2,0,0
11106,1,0,0,0,0,11,1.0267957,-4.573415,138,1,1.1,0.9,25.83,0.2,0,0
11107,1,6.07,1.26,0,0,11,1.0262811,-4.614596,138,1,1.1,0.9,25.84,0.2,0,0
11108,1,33.39,11.4,0,0,11,1.0199745,-9.431356,69,1,1.1,0.9,26.42,0.42,0,0
11109,1,33.63,5.14,0,0,11,1.0188459,-3.554738,138,1,1.1,0.9,25.91,0.16,0,0
11110,1,0,0,0,0,11,1.0246804,-2.890366,138,1,1.1,0.9,25.69,0.18,0,0
11111,1,50.83,18.1,0,0,11,1.0329731,-5.510303,69,1,1.1,0.9,25.76,0.18,0,0
11112,1,0,0,0,0,11,1.0252512,-2.841572,138,1,1.1,0.9,25.68,0.18,0,0
11113,1,0,0,0,0,11,1.0236683,-3.426879,138,1,1.1,0.9,25.75,0.18,0,0
11114,1,0,0,0,0,11,1.0311137,-4.797399,69,1,1.1,0.9,25.61,0.17,0,0
11115,1,50.83,4.52,0,0,11,1.0235129,-3.454248,138,1,1.1,0.9,25.76,0.18,0,0
11116,1,0,0,0,0,11,1.0239437,-3.389808,138,1,1.1,0.9,25.74,0.18,0,0
11117,1,37.99,16.3,0,0,11,1.0244595,-1.620086,138,1,1.1,0.9,25.43,0.18,0,0
11118,1,0,0,0,0,11,1.0274927,-0.916211,138,1,1.1,0.9,25.4,0.11,0,0
11119,1,45.91,30.33,0,0,11,1.0270619,-0.93655,138,1,1.1,0.9,25.4,0.11,0,0
11120,1,35.8,10.43,0,0,11,1.0050692,-6.244818,69,1,1.1,0.9,26.1,0.36,0,0
11121,1,0,0,0,0,11,1.0211013,-4.102212,69,1,1.1,0.9,25.46,0.28,0,0
11122,1,32.15,4.57,0,0,11,1.0209874,-4.121301,69,1,1.1,0.9,25.46,0.28,0,0
11123,1,0,0,0,0,11,1.0212323,-4.081889,69,1,1.1,0.9,25.46,0.28,0,0
11124,1,0,0,0,0,11,1.0288924,-5.859135,69,1,1.1,0.9,25.88,0.2,0,0
11125,1,47.75,8.66,0,0,11,1.0286899,-5.887549,69,1,1.1,0.9,25.89,0.21,0,0
11126,1,0,0,0,0,11,1.008779,-8.269404,69,1,1.1,0.9,26.7,0.33,0,0
11127,1,7.83,2.04,0,0,11,1.0087405,-8.274057,69,1,1.1,0.9,26.7,0.33,0,0
11128,1,37.21,13.72,0,0,11,0.9969057,-7.751016,69,1,1.1,0.9,26.53,0.36,0,0
11129,1,34.63,12.39,0,0,11,1.0298177,-2.410173,138,1,1.1,0.9,25.53,0.11,0,0
11130,1,0,0,0,0,11,1.0035692,-7.263243,69,1,1.1,0.9,26.31,0.29,0,0
11131,1,14.53,3.05,0,0,11,1.0034961,-7.271371,69,1,1.1,0.9,26.32,0.29,0,0
11132,1,0,0,0,0,11,1.0209653,-5.82506,69,1,1.1,0.9,26.06,0.24,0,0
11133,1,7.65,2.25,0,0,11,1.0209208,-5.829453,69,1,1.1,0.9,26.06,0.24,0,0
11134,1,39.75,5.63,0,0,11,1.0291473,-7.215593,69,1,1.1,0.9,25.71,0.33,0,0
11135,1,0,0,0,0,11,1.0293177,-7.192281,69,1,1.1,0.9,25.7,0.33,0,0
11136,1,0,0,0,0,11,1.0293861,-2.917687,138,1,1.1,0.9,25.63,0.16,0,0
11137,1,0,0,0,0,11,1.0315448,-6.822126,69,1,1.1,0.9,25.57,0.32,0,0
11138,1,0,0,0,0,11,1.0408022,-11.605904,18,1,1.1,0.9,25.53,0.52,0,0
11139,1,0,0,0,0,11,1.0408022,-11.605904,1,1,1.1,0.9,25.53,0.52,0,0
11140,1,39.75,4.83,0,0,11,1.0292509,-2.939215,138,1,1.1,0.9,25.63,0.16,0,0
11141,1,38.43,17.87,0,0,11,1.0189279,-8.839658,69,1,1.1,0.9,26.32,0.43,0,0
11142,1,0,0,0,0,11,1.0267166,-4.217437,138,1,1.1,0.9,25.81,0.18,0,0
11143,1,0,0,0,0,11,1.0248525,-8.243337,69,1,1.1,0.9,26.06,0.38,0,0
11144,1,0,0,0,0,11,1.0310928,-14.040347,13.2,1,1.1,0.9,26.48,0.6,0,0
11145,1,0,0,0,0,11,1.0310928,-14.040347,1,1,1.1,0.9,26.48,0.6,0,0
11146,1,0,0,0,0,11,1.0270246,-4.17333,138,1,1.1,0.9,25.79,0.18,0,0
11147,1,38.43,9.55,0,0,11,1.0265133,-4.240921,138,1,1.1,0.9,25.81,0.18,0,0
11148,1,7.17,1.14,0,0,11,0.9981935,-7.414332,69,1,1.1,0.9,26.45,0.37,0,0
11149,1,48.3,7.99,0,0,11,1.0271534,-6.45102,138,1,1.1,0.9,26.07,0.2,0,0
11150,1,25.95,6.14,0,0,11,1.0077535,-11.849782,69,1,1.1,0.9,27.08,0.48,0,0
11151,1,0,0,0,0,11,1.0192962,-6.81146,138,1,1.1,0.9,26.34,0.14,0,0
11152,1,3.23,1.05,0,0,11,1.0312771,-9.58516,69,1,1.1,0.9,26.52,0.13,0,0
11153,1,36.61,5.93,0,0,11,1.019138,-6.832089,138,1,1.1,0.9,26.35,0.14,0,0
11154,1,0,0,0,0,11,1.0235114,-10.66469,69,1,1.1,0.9,26.95,0.14,0,0
11155,1,36.61,0.87,0,0,11,1.0234143,-10.685745,69,1,1.1,0.9,26.95,0.14,0,0
11156,1,0,0,0,0,11,1.0236146,-10.643334,69,1,1.1,0.9,26.94,0.14,0,0
11157,1,0,0,0,0,11,1.0235114,-10.66469,69,1,1.1,0.9,26.95,0.14,0,0
11158,1,0,0,0,0,11,1.0293257,-4.937603,345,1,1.1,0.9,26.04,0.09,0,0
11159,1,0,0,0,0,11,1.0352783,-6.491064,138,1,1.1,0.9,26.13,0.08,0,0
11160,1,0,0,0,0,11,1.0381698,-7.313145,69,1,1.1,0.9,26.22,0.01,0,0
11161,1,44.36,11.49,0,0,11,1.0350717,-6.514897,138,1,1.1,0.9,26.13,0.08,0,0
11162,1,0,0,0,0,11,1.0284896,-7.241911,138,1,1.1,0.9,26.27,0.12,0,0
11163,1,6.33,0.74,0,0,11,1.0332429,-7.177228,69,1,1.1,0.9,26.3,0.05,0,0
11164,1,34.11,5.36,0,0,11,1.0283623,-7.260716,138,1,1.1,0.9,26.27,0.12,0,0
11165,1,0,0,0,0,11,1.0220161,-10.732525,69,1,1.1,0.9,26.69,0.34,0,0
11166,1,42.42,16.76,0,0,11,1.0217353,-10.75432,69,1,1.1,0.9,26.7,0.34,0,0
11167,1,0,0,0,0,11,1.0223131,-10.709134,69,1,1.1,0.9,26.68,0.34,0,0
11168,1,0,0,0,0,11,1.0246913,-7.241513,138,1,1.1,0.9,26.26,0.24,0,0
11169,1,0,0,0,0,11,1.0240718,-10.366368,69,1,1.1,0.9,26.56,0.34,0,0
11170,1,0,0,0,0,11,1.0239409,-9.582433,20,1,1.1,0.9,26.48,0.32,0,0
11171,1,0,0,0,0,11,1.0239409,-9.582433,1,1,1.1,0.9,26.48,0.32,0,0
11172,1,42.42,13.93,0,0,11,1.02444,-7.26737,138,1,1.1,0.9,26.27,0.24,0,0
11173,1,55.7,38.61,0,0,11,1.0240415,-6.754964,138,1,1.1,0.9,26.18,0.25,0,0
11174,1,0,0,0,0,11,1.026258,-4.140243,345,1,1.1,0.9,25.96,0.18,0,0
11175,1,0,0,0,0,11,1.0327057,-5.763518,138,1,1.1,0.9,25.97,0.2,0,0
11176,1,0,0,0,0,11,1.0362538,-8.648153,69,1,1.1,0.9,25.98,0.27,0,0
11177,1,55.7,1.72,0,0,11,1.0261076,-4.17169,345,1,1.1,0.9,25.97,0.18,0,0
11178,1,0,0,0,0,11,1.0305231,-3.672612,345,1,1.1,0.9,25.85,0.14,0,0
11179,1,12.51,3.13,0,0,11,1.0325362,-7.611771,69,1,1.1,0.9,26.37,0.05,0,0
11180,1,30.37,4.37,0,0,11,1.0285527,-3.183606,138,1,1.1,0.9,25.71,0.15,0,0
11181,1,0,0,0,0,11,1.0286698,-3.164991,138,1,1.1,0.9,25.7,0.15,0,0
11182,1,0,0,0,0,11,1.0285527,-3.183606,138,1,1.1,0.9,25.71,0.15,0,0
11183,1,20.58,10.68,0,0,11,1.0169414,-4.474134,69,1,1.1,0.9,25.74,0.33,0,0
11184,1,0,0,0,0,11,1.0171075,-4.464102,69,1,1.1,0.9,25.73,0.32,0,0
11185,1,0,0,0,0,11,1.0043052,-7.126505,69,1,1.1,0.9,25.98,0.33,0,0
11186,1,40,8.86,0,0,11,1.0041163,-7.151764,69,1,1.1,0.9,25.98,0.33,0,0
11187,1,0,0,0,0,11,1.0264458,-8.915384,69,1,1.1,0.9,26.13,0.36,0,0
11188,1,18.7,9.54,0,0,11,1.0262997,-8.924881,69,1,1.1,0.9,26.13,0.36,0,0
11189,1,39.23,9.15,0,0,11,1.0119064,-10.490988,69,1,1.1,0.9,26.76,0.47,0,0
11190,1,0,0,0,0,11,1.0121223,-10.466689,69,1,1.1,0.9,26.75,0.47,0,0
11191,1,0,0,0,0,11,1.0303687,-7.14748,138,1,1.1,0.9,26.24,0.1,0,0
11192,1,21.45,4.71,0,0,11,1.0302601,-7.159882,138,1,1.1,0.9,26.25,0.1,0,0
11193,1,0,0,0,0,11,1.023669,-7.477214,69,1,1.1,0.9,26.04,0.35,0,0
11194,1,32.21,11.63,0,0,11,1.0234601,-7.495308,69,1,1.1,0.9,26.04,0.35,0,0
11195,1,0,0,0,0,11,0.9990481,-7.377161,69,1,1.1,0.9,26.41,0.35,0,0
11196,1,22.55,5.68,0,0,11,0.9989234,-7.391848,69,1,1.1,0.9,26.42,0.35,0,0
11197,1,0,0,0,0,11,0.9991743,-7.364005,69,1,1.1,0.9,26.41,0.35,0,0
11198,1,0,0,0,0,11,1.0305856,-0.989511,138,1,1.1,0.9,25.38,0.06,0,0
11199,1,0,0,0,0,11,1.0099249,-6.649485,69,1,1.1,0.9,25.78,0.29,0,0
11200,1,0,0,0,0,11,0.9982935,-14.540626,18,1,1.1,0.9,26.39,0.46,0,0
11201,1,0,0,0,0,11,0.9982935,-14.540626,1,1,1.1,0.9,26.39,0.46,0,0
11202,1,46.88,9.41,0,0,11,1.0303675,-1.01736,138,1,1.1,0.9,25.39,0.06,0,0
11203,1,0,0,0,0,11,1.024092,-2.486449,138,1,1.1,0.9,25.65,0.09,0,0
11204,1,30.86,7.97,0,0,11,1.0239181,-2.503432,138,1,1.1,0.9,25.66,0.09,0,0
11205,1,0,0,0,0,11,1.0250039,-8.434674,69,1,1.1,0.9,26.14,0.36,0,0
11206,1,32.95,5.37,0,0,11,1.0248622,-8.453673,69,1,1.1,0.9,26.14,0.36,0,0
11207,1,0,0,0,0,11,1.0264344,-8.282576,69,1,1.1,0.9,26.1,0.35,0,0
11208,1,32.95,5.23,0,0,11,1.0263155,-8.300054,69,1,1.1,0.9,26.1,0.35,0,0
11209,1,20.89,3.29,0,0,11,0.9972898,-9.263746,69,1,1.1,0.9,26.72,0.32,0,0
11210,1,56.36,11.18,0,0,11,1.0238262,-2.414461,138,1,1.1,0.9,25.65,0.1,0,0
11211,1,0,0,0,0,11,1.0053839,-10.779496,69,1,1.1,0.9,26.9,0.56,0,0
11212,1,35.47,13.97,0,0,11,1.0051401,-10.798688,69,1,1.1,0.9,26.9,0.56,0,0
11213,1,0,0,0,0,11,1.0055989,-10.760521,69,1,1.1,0.9,26.89,0.56,0,0
11214,1,0,0,0,0,11,1.0091035,-10.515643,69,1,1.1,0.9,26.77,0.53,0,0
11215,1,35.47,19.19,0,0,11,1.0088269,-10.533671,69,1,1.1,0.9,26.78,0.53,0,0
11216,1,0,0,0,0,11,1.0137487,-7.519345,138,1,1.1,0.9,26.54,0.3,0,0
11217,1,63.05,14.41,0,0,11,1.0134597,-7.553465,138,1,1.1,0.9,26.54,0.3,0,0
11218,1,0,0,0,0,11,1.0140803,-7.480029,138,1,1.1,0.9,26.53,0.3,0,0
11219,1,0,0,0,0,11,1.0247117,-6.235715,138,1,1.1,0.9,26.07,0.21,0,0
11220,1,61.07,14.22,0,0,11,1.024388,-6.273571,138,1,1.1,0.9,26.08,0.22,0,0
11221,1,9.93,2.47,0,0,11,1.002213,-8.097552,69,1,1.1,0.9,26.25,0.33,0,0
11222,1,0,0,0,0,11,1.0022611,-8.091475,69,1,1.1,0.9,26.24,0.33,0,0
11223,1,12.64,1.45,0,0,11,1.027141,-2.849616,69,1,1.1,0.9,25.16,0.26,0,0
11224,1,0,0,0,0,11,1.0271905,-2.842548,69,1,1.1,0.9,25.16,0.26,0,0
11225,1,51.43,45.14,0,0,11,1.0092041,-10.112008,69,1,1.1,0.9,26.63,0.57,0,0
11226,1,51.43,8.39,0,0,11,1.0078717,-10.621401,69,1,1.1,0.9,26.79,0.53,0,0
11227,1,0,0,0,0,11,1.0125475,-6.726343,138,1,1.1,0.9,26.32,0.37,0,0
11228,1,0,0,0,0,11,1.0141697,-9.778763,69,1,1.1,0.9,26.43,0.51,0,0
11229,1,0,0,0,0,11,1.0210339,-13.926686,13.8,1,1.1,0.9,26.61,0.68,0,0
11230,1,0,0,0,0,11,1.0210339,-13.926686,1,1,1.1,0.9,26.61,0.68,0,0
11231,1,54.38,10.83,0,0,11,1.0123101,-6.756714,138,1,1.1,0.9,26.32,0.37,0,0
11232,1,0,0,0,0,11,1.0128601,-6.671133,138,1,1.1,0.9,26.31,0.36,0,0
11233,1,30.33,10.65,0,32.5,11,1.0246609,-9.444203,69,1,1.1,0.9,26.77,-0.31,0,0
11234,1,12.63,3.12,0,0,11,1.0302126,-7.492674,69,1,1.1,0.9,26.32,0.04,0,0
11235,1,0,0,0,0,11,1.0181733,-4.214225,138,1,1.1,0.9,25.99,0.09,0,0
11236,1,36.96,3.34,0,0,11,1.0178381,-7.335231,69,1,1.1,0.9,26.15,0.07,0,0
11237,1,0,0,0,0,11,1.0183067,-4.172189,138,1,1.1,0.9,25.98,0.09,0,0
11238,1,10.72,0.5,0,0,11,1.0057232,-7.192485,69,1,1.1,0.9,26.09,0.29,0,0
11239,1,31.74,5.31,0,0,11,1.0190219,-8.993532,69,1,1.1,0.9,26.37,0.4,0,0
11240,1,0,0,0,0,11,1.0191682,-8.973723,69,1,1.1,0.9,26.37,0.4,0,0
11241,1,0,0,0,0,11,1.0190219,-8.993532,69,1,1.1,0.9,26.37,0.4,0,0
11242,1,0,0,0,0,11,1.0409153,-15.711423,69,1,1.1,0.9,26.56,0.24,0,0
11243,1,26.15,6.52,0,0,11,1.0408002,-15.72464,69,1,1.1,0.9,26.56,0.24,0,0
11244,1,0,0,0,0,11,1.0295448,-20.326655,69,1,1.1,0.9,27.64,0.24,0,0
11245,1,9.67,2.98,0,0,11,1.0294857,-20.332186,69,1,1.1,0.9,27.64,0.24,0,0
11246,1,0,0,0,0,11,1.0340782,-15.041217,138,1,1.1,0.9,26.95,0.15,0,0
11247,1,58,6.14,0,0,11,1.0338846,-15.075558,138,1,1.1,0.9,26.96,0.15,0,0
11248,1,0,0,0,0,11,1.0230634,-17.281354,138,1,1.1,0.9,27.37,0.18,0,0
11249,1,4.55,1.08,0,0,11,1.0426401,-18.212634,69,1,1.1,0.9,27.44,0.14,0,0
11250,1,46.13,14.17,0,0,11,1.0227847,-17.306684,138,1,1.1,0.9,27.38,0.18,0,0
11251,1,0,0,0,0,11,1.0350367,-20.220651,69,1,1.1,0.9,27.58,0.23,0,0
11252,1,32.55,10.56,0,0,11,1.0348474,-20.239962,69,1,1.1,0.9,27.59,0.23,0,0
11253,1,0,0,0,0,11,1.0305944,-16.821384,138,1,1.1,0.9,27.27,0.15,0,0
11254,1,0,0,0,0,11,1.0394194,-19.73901,69,1,1.1,0.9,27.4,0.2,0,0
11255,1,32.55,1.93,0,0,11,1.0304872,-16.840931,138,1,1.1,0.9,27.27,0.15,0,0
11256,1,0,0,0,0,11,1.0346833,-14.659858,138,1,1.1,0.9,26.95,0.13,0,0
11257,1,0,0,0,0,11,1.0471316,-19.03298,69,1,1.1,0.9,27.04,0.17,0,0
11258,1,38.28,17.73,0,0,11,1.0344085,-14.678601,138,1,1.1,0.9,26.96,0.13,0,0
11259,1,0,0,0,0,11,1.0352163,-14.612558,138,1,1.1,0.9,26.94,0.12,0,0
11260,1,0,0,0,0,11,1.0396897,-13.132821,138,1,1.1,0.9,26.65,0.12,0,0
11261,1,0,0,0,0,11,1.0562035,-17.385525,69,1,1.1,0.9,26.49,0.18,0,0
11262,1,38.28,8.47,0,0,11,1.0394909,-13.1539,138,1,1.1,0.9,26.65,0.12,0,0
