MODEL,STARTUP,SHUTDOWN,NCOST,C2,C1,C0
2,0,0,3,0.003,29.726,236.05
2,0,0,3,0.003,30.568,236.05
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0.002,20.296,607.5
2,0,0,3,0.002,21.769,607.5
2,0,0,3,0.003,26.571,236.08
2,0,0,3,0.002,21.894,799.8
2,0,0,3,0.002,20.289,799.8
2,0,0,3,0.002,19.302,799.8
2,0,0,3,0.002,19.937,799.8
2,0,0,3,0.002,20.883,799.8
2,0,0,3,0.002,20.836,799.8
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0.002,25.147,669.5
2,0,0,3,0.002,24.49,669.5
2,0,0,3,0.002,21.898,669.5
2,0,0,3,0.002,25.614,621.6
2,0,0,3,0.002,25.137,621.6
2,0,0,3,0.002,21.294,602.7
2,0,0,3,0.002,27.357,602.7
2,0,0,3,0.002,24.92,602.7
2,0,0,3,0.004,33.835,236.04
2,0,0,3,0.003,29.901,236.04
2,0,0,3,0.003,30.002,236.04
2,0,0,3,0.003,30.144,236.04
2,0,0,3,0.003,31.36,237.41
2,0,0,3,0.004,36.645,237.41
2,0,0,3,0.004,33.467,237.41
2,0,0,3,0.004,34.384,237.41
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0.002,22.656,602.25
2,0,0,3,0.002,24.412,602.25
2,0,0,3,0.002,27.02,602.25
2,0,0,3,0.002,23.342,602.25
2,0,0,3,0.002,24.016,602.25
2,0,0,3,0.002,21.799,702.3
2,0,0,3,0.004,36.607,236.05
2,0,0,3,0.004,39.195,236.05
2,0,0,3,0.003,32.963,236.05
2,0,0,3,0.002,24.52,600.75
2,0,0,3,0.002,24.63,600.75
2,0,0,3,0.002,23.535,621
2,0,0,3,0.002,23.761,600.75
2,0,0,3,0.002,23.323,600.75
2,0,0,3,0.002,23.488,607.95
2,0,0,3,0.002,23.769,607.95
2,0,0,3,0.002,21.516,626.25
2,0,0,3,0.002,22.09,626.25
2,0,0,3,0.002,23.618,751.25
2,0,0,3,0.002,24.264,751.25
2,0,0,3,0.002,23.191,751.25
2,0,0,3,0.002,24.586,751.25
2,0,0,3,0.002,24.363,751.25
2,0,0,3,0.002,25.49,751.25
2,0,0,3,0.003,28.813,236.49
2,0,0,3,0.002,23.12,603.6
2,0,0,3,0.002,22.137,603.6
2,0,0,3,0.002,23.361,603.6
2,0,0,3,0.002,23.25,603.6
2,0,0,3,0.002,22.958,603.6
2,0,0,3,0.002,23.127,603.6
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0.002,24.841,887.25
2,0,0,3,0.002,24.273,887.25
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0.002,22.673,655.71
2,0,0,3,0.002,24.763,655.71
2,0,0,3,0.002,24.592,690.75
2,0,0,3,0.002,23.811,690.75
2,0,0,3,0.002,24.801,690.75
2,0,0,3,0.002,24.651,690.75
2,0,0,3,0.002,23.323,655.71
2,0,0,3,0.002,21.245,655.71
2,0,0,3,0.002,23.785,655.71
2,0,0,3,0.002,23.375,609
2,0,0,3,0.002,23.837,607.65
2,0,0,3,0.002,22.569,607.65
2,0,0,3,0.002,21.723,603.6
2,0,0,3,0.002,24.567,604.05
2,0,0,3,0.002,23.972,604.5
2,0,0,3,0,0,0
2,0,0,3,0.002,23.83,606.15
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0.002,23.825,815.1
2,0,0,3,0.002,24.129,815.1
2,0,0,3,0.002,23.687,815.1
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0.002,26.089,950.2
2,0,0,3,0.002,24.964,950.2
2,0,0,3,0.002,27.128,950.2
2,0,0,3,0.002,26.892,950.2
2,0,0,3,0.002,26.196,950.2
2,0,0,3,0.002,23.868,950.2
2,0,0,3,0.002,21.025,627.9
2,0,0,3,0.002,25.33,609.3
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0.002,23.657,705.3
2,0,0,3,0.002,22.516,705.3
2,0,0,3,0.002,25.836,705.3
2,0,0,3,0.002,23.155,705.3
2,0,0,3,0.002,27.151,705.3
2,0,0,3,0.002,21.785,677.1
2,0,0,3,0.002,23.618,677.1
2,0,0,3,0.002,22.383,677.1
2,0,0,3,0.002,24.728,677.1
2,0,0,3,0.002,21.174,677.1
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0.002,24.879,977
2,0,0,3,0.002,25.469,977
2,0,0,3,0.002,23.66,977
2,0,0,3,0.003,31.836,236.9
2,0,0,3,0.004,33.936,236.9
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0.002,24.37,662.85
2,0,0,3,0.002,23.1,662.85
2,0,0,3,0.002,22.176,622.5
2,0,0,3,0.002,22.837,622.5
2,0,0,3,0.002,23.346,627
2,0,0,3,0.002,24.404,640.5
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0.003,32.196,236.71
2,0,0,3,0.004,36.061,236.71
2,0,0,3,0.003,28.623,236.71
2,0,0,3,0.002,23.862,657.6
2,0,0,3,0.002,23.713,657.6
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0.002,22.275,667.5
2,0,0,3,0.002,26.156,671.85
2,0,0,3,0.002,26.184,671.85
2,0,0,3,0.002,23.198,671.85
2,0,0,3,0.002,24.158,671.85
2,0,0,3,0.002,27.33,907.91
2,0,0,3,0.002,22.084,907.91
2,0,0,3,0.002,25.069,907.91
2,0,0,3,0.002,24.553,907.91
2,0,0,3,0.003,29.709,237.41
2,0,0,3,0.003,31.21,237.41
2,0,0,3,0.004,35.287,237.41
2,0,0,3,0.003,30.674,237.41
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0.002,26.303,602.4
2,0,0,3,0.002,24.059,602.4
2,0,0,3,0.002,24.809,602.4
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,8,1000
2,0,0,3,0,8,1000
2,0,0,3,0,8,1000
2,0,0,3,0.003,32.845,1157.78
2,0,0,3,0.004,38.256,1157.78
2,0,0,3,0.004,37.723,509.75
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0.002,20.029,606.75
2,0,0,3,0.002,26.363,623.25
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0.002,21.96,614.25
2,0,0,3,0.002,23.915,601.5
2,0,0,3,0.003,32.131,236.98
2,0,0,3,0.003,33.154,236.98
2,0,0,3,0.003,33.207,775.89
2,0,0,3,0.004,37.886,236.98
2,0,0,3,0.003,32.552,236.98
2,0,0,3,0.003,31.777,236.98
2,0,0,3,0.002,24.219,938.9
2,0,0,3,0.002,21.999,938.9
2,0,0,3,0.002,23.81,938.9
2,0,0,3,0.002,25.822,938.9
2,0,0,3,0.002,26.734,938.9
2,0,0,3,0.002,23.594,938.9
2,0,0,3,0.002,21.908,744.15
2,0,0,3,0.002,26.396,744.15
2,0,0,3,0.002,22.624,744.15
2,0,0,3,0.002,24.082,744.15
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0.002,25.344,611.25
2,0,0,3,0.002,23.937,611.25
2,0,0,3,0.002,24.371,611.25
2,0,0,3,0.003,27.299,1368.27
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,8,1000
2,0,0,3,0.002,24.23,605.25
2,0,0,3,0.002,23.951,605.25
2,0,0,3,0.002,23.127,605.25
2,0,0,3,0.002,25.076,639.9
2,0,0,3,0.002,24.311,639.9
2,0,0,3,0.002,23.894,639.9
2,0,0,3,0.002,24.277,639.9
2,0,0,3,0.002,23.973,639.9
2,0,0,3,0.002,23.659,639.9
2,0,0,3,0.002,24.081,652.35
2,0,0,3,0.002,24.268,652.35
2,0,0,3,0.002,24.369,614.4
2,0,0,3,0.002,24.209,700.88
2,0,0,3,0.002,25.166,700.88
2,0,0,3,0.002,23.664,602.85
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0.002,24.341,773.4
2,0,0,3,0.002,23.369,773.4
2,0,0,3,0.002,24.72,604.8
2,0,0,3,0.002,24.218,601.65
2,0,0,3,0.002,23.601,601.65
2,0,0,3,0.002,22.06,607.35
2,0,0,3,0.002,24.486,607.35
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0.003,31.343,1060.9
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0.002,23.729,602.4
2,0,0,3,0.002,25.182,602.4
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,8,1113.38
2,0,0,3,0.004,35.165,236.72
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0.002,25.743,650.63
2,0,0,3,0.002,24.581,650.63
2,0,0,3,0.002,20.994,650.63
2,0,0,3,0.002,23.013,650.63
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0.002,24.674,620.25
2,0,0,3,0.002,25.915,603
2,0,0,3,0.002,25.028,601.8
2,0,0,3,0.002,23.346,728
2,0,0,3,0.002,24.555,728
2,0,0,3,0.002,23.22,728
2,0,0,3,0.002,23.874,728
2,0,0,3,0.002,24.259,728
2,0,0,3,0.002,23.123,728
2,0,0,3,0.002,23.661,607.5
2,0,0,3,0,0,0
2,0,0,3,0.002,24.972,611.7
2,0,0,3,0,0,0
2,0,0,3,0.002,24.692,769.2
2,0,0,3,0.002,22.832,721.5
2,0,0,3,0.002,24.044,721.5
2,0,0,3,0.002,25.183,721.5
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0.002,23.285,712.5
2,0,0,3,0.002,23.365,712.5
2,0,0,3,0.002,25.345,712.5
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0.002,25.118,717.75
2,0,0,3,0.002,25.256,717.75
2,0,0,3,0.002,20.67,601.35
2,0,0,3,0.002,21.901,601.35
2,0,0,3,0.002,23.658,611.85
2,0,0,3,0.002,25.171,611.85
2,0,0,3,0.002,23.788,725.4
2,0,0,3,0.002,24.683,725.4
2,0,0,3,0.002,23.001,725.4
2,0,0,3,0.002,26.269,725.4
2,0,0,3,0.002,25.584,725.4
2,0,0,3,0.002,25.263,725.4
2,0,0,3,0.002,24.333,601.8
2,0,0,3,0.002,23.25,606.6
2,0,0,3,0,0,0
2,0,0,3,0.003,30.233,236.5
2,0,0,3,0.003,31.466,236.5
2,0,0,3,0.003,31.97,236.5
2,0,0,3,0.002,23.633,706.8
2,0,0,3,0.002,24.589,748.8
2,0,0,3,0.002,25.513,748.8
2,0,0,3,0.002,24.638,748.8
2,0,0,3,0.002,26.32,748.8
2,0,0,3,0.002,27.125,748.8
2,0,0,3,0.002,24.412,748.8
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0.003,30.401,960.98
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0.002,24.869,843.53
2,0,0,3,0.002,25.291,843.53
2,0,0,3,0.002,23.027,843.53
2,0,0,3,0.002,25.007,843.53
2,0,0,3,0.002,23.795,843.53
2,0,0,3,0.002,24.896,843.53
2,0,0,3,0.004,35.53,509.75
2,0,0,3,0.004,34.842,495.22
2,0,0,3,0.004,33.496,495.22
2,0,0,3,0.003,31.602,495.22
2,0,0,3,0.004,35.118,495.22
2,0,0,3,0.002,25.977,662.25
2,0,0,3,0.002,26.325,662.25
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0.002,20.782,790.65
2,0,0,3,0.002,19.46,790.65
2,0,0,3,0,0,0
2,0,0,3,0.002,19.39,601.6
2,0,0,3,0.002,20.374,601.6
2,0,0,3,0.002,20.212,601.6
2,0,0,3,0.002,21.709,601.6
2,0,0,3,0.002,20.585,601.6
2,0,0,3,0.002,19.172,601.6
2,0,0,3,0.003,26.169,236.11
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0.002,20.129,236.05
2,0,0,3,0.003,26.441,236.05
2,0,0,3,0.003,28.861,236.05
2,0,0,3,0.003,26.537,236.05
2,0,0,3,0.002,23.149,236.05
2,0,0,3,0.003,28.433,236.05
2,0,0,3,0,0,0
2,0,0,3,0.002,17.819,603.75
2,0,0,3,0.002,17.742,603.6
2,0,0,3,0.002,18.945,603.6
2,0,0,3,0.002,21.112,603.6
2,0,0,3,0.002,19.021,603.6
2,0,0,3,0.002,20.044,603.6
2,0,0,3,0.002,19.002,603.6
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0.002,23.578,1185.45
2,0,0,3,0.003,27.769,1185.45
2,0,0,3,0.003,26.422,1185.45
2,0,0,3,0.003,26.519,1185.45
2,0,0,3,0.003,24.976,485.75
2,0,0,3,0.003,24.803,485.75
2,0,0,3,0.003,25.996,485.75
2,0,0,3,0.003,24.573,485.75
2,0,0,3,0.002,21.185,794.4
2,0,0,3,0.002,19.993,794.4
2,0,0,3,0.002,18.875,794.4
2,0,0,3,0.002,18.201,601.2
2,0,0,3,0.002,20.263,601.2
2,0,0,3,0.002,19.449,601.2
2,0,0,3,0.002,19.821,601.2
2,0,0,3,0.002,21.154,712.65
2,0,0,3,0.002,19.102,712.65
2,0,0,3,0.002,18.31,712.65
2,0,0,3,0.002,21.104,712.65
2,0,0,3,0.003,28.825,236.18
2,0,0,3,0.003,26.67,236.18
2,0,0,3,0.003,30.515,236.18
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0.002,23.881,954.79
2,0,0,3,0.002,21.127,954.79
2,0,0,3,0.002,21.806,954.79
2,0,0,3,0.002,20.728,954.79
2,0,0,3,0.003,26.414,236.55
2,0,0,3,0.003,27.236,236.55
2,0,0,3,0.003,25.178,236.55
2,0,0,3,0.002,22.602,236.55
2,0,0,3,0.002,18.536,601.2
2,0,0,3,0.002,17.66,601.2
2,0,0,3,0.002,18.361,601.2
2,0,0,3,0.002,17.929,601.2
2,0,0,3,0.002,20.227,601.2
2,0,0,3,0.002,19.493,601.2
2,0,0,3,0.002,19.313,603.6
2,0,0,3,0.002,21.278,603.6
2,0,0,3,0.002,18.34,603.6
2,0,0,3,0.001,17.167,603.6
2,0,0,3,0.002,20.045,603.6
2,0,0,3,0.002,20.54,603.6
2,0,0,3,0.003,25.728,237.86
2,0,0,3,0.003,24.993,237.86
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0.002,19.066,630.08
2,0,0,3,0.002,18.259,630.08
2,0,0,3,0.002,19.487,737.85
2,0,0,3,0.001,17.417,737.85
2,0,0,3,0.002,22.028,737.85
2,0,0,3,0.002,20.491,737.85
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0.002,20.608,602.7
2,0,0,3,0.002,19.986,602.7
2,0,0,3,0.002,21.391,602.7
2,0,0,3,0.002,19.461,602.7
2,0,0,3,0.002,18.681,602.7
2,0,0,3,0.002,20.525,602.7
2,0,0,3,0.002,19.293,619.5
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0.003,26.184,236.05
2,0,0,3,0.003,28.606,236.05
2,0,0,3,0.003,28.84,236.05
2,0,0,3,0.003,29.209,236.05
2,0,0,3,0.003,23.932,236.05
2,0,0,3,0.003,27.624,236.05
2,0,0,3,0.002,20.503,604.95
2,0,0,3,0.002,21.312,604.95
2,0,0,3,0.002,18.254,604.95
2,0,0,3,0.002,21.213,604.95
2,0,0,3,0.003,29.811,236.04
2,0,0,3,0.003,27.796,236.04
2,0,0,3,0.003,27.941,236.04
2,0,0,3,0.003,26.876,236.04
2,0,0,3,0.002,19.986,605.7
2,0,0,3,0.002,17.766,605.7
2,0,0,3,0.002,17.796,601.35
2,0,0,3,0.003,25.62,236.05
2,0,0,3,0.002,17.608,601.65
2,0,0,3,0.002,18.492,879.5
2,0,0,3,0.002,21.586,879.5
2,0,0,3,0.002,18.781,879.5
2,0,0,3,0.003,25.603,1250.1
2,0,0,3,0.003,27.249,1250.1
2,0,0,3,0,8,1000
2,0,0,3,0,8,1000
2,0,0,3,0.002,20.374,880.5
2,0,0,3,0.002,19.467,788
2,0,0,3,0.001,16.991,788
2,0,0,3,0.002,18.824,788
2,0,0,3,0.002,19.381,788
2,0,0,3,0.002,20.42,788
2,0,0,3,0.002,19.663,788
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0.002,21.2,603.6
2,0,0,3,0.002,18.308,603.6
2,0,0,3,0.002,20.038,603.6
2,0,0,3,0.002,20.703,603.6
2,0,0,3,0.002,19.885,603.6
2,0,0,3,0.002,18.51,603.6
2,0,0,3,0.003,28.157,237.53
2,0,0,3,0.003,25.304,237.53
2,0,0,3,0.002,20.409,1152.07
2,0,0,3,0.002,23.948,1152.07
2,0,0,3,0.002,21.95,1152.07
2,0,0,3,0.002,21.734,1152.07
2,0,0,3,0.002,20.196,751.5
2,0,0,3,0.002,18.418,751.5
2,0,0,3,0.002,21.585,751.5
2,0,0,3,0.002,19.89,744
2,0,0,3,0.002,21.451,237.53
2,0,0,3,0.003,26.226,237.53
2,0,0,3,0.002,19.757,654.15
2,0,0,3,0.002,22.879,669.6
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0.002,19.879,602.7
2,0,0,3,0.002,18.255,602.7
2,0,0,3,0.002,17.515,602.7
2,0,0,3,0.002,20.777,602.7
2,0,0,3,0.002,19.78,602.7
2,0,0,3,0.002,20.894,602.7
2,0,0,3,0.002,18.416,602.1
2,0,0,3,0.002,22.547,236.11
2,0,0,3,0.002,22.546,236.11
2,0,0,3,0.003,24.471,236.11
2,0,0,3,0.003,26.238,236.11
2,0,0,3,0.002,21.878,236.11
2,0,0,3,0.003,29.813,236.11
2,0,0,3,0,0,0
2,0,0,3,0.003,26.189,236.11
2,0,0,3,0.002,22.182,867.75
2,0,0,3,0.002,22.187,867.75
2,0,0,3,0.002,19.341,867.75
2,0,0,3,0.002,21.476,867.75
2,0,0,3,0.002,19.873,867.75
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,8,1000
2,0,0,3,0,8,1000
2,0,0,3,0,8,1000
2,0,0,3,0.002,19.084,630
2,0,0,3,0.002,18.511,630
2,0,0,3,0.002,20.596,630
2,0,0,3,0.003,26.701,236.05
2,0,0,3,0.002,21.003,765
2,0,0,3,0.002,21.143,765
2,0,0,3,0.002,19.323,765
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0.003,27.422,998.42
2,0,0,3,0.002,20.47,600.9
2,0,0,3,0.002,20.347,600.9
2,0,0,3,0.002,18.067,600.9
2,0,0,3,0.002,21.246,600.9
2,0,0,3,0.002,18.325,600.9
2,0,0,3,0.002,18.999,600.9
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0.002,23.644,236.55
2,0,0,3,0.002,23.014,236.55
2,0,0,3,0.003,25.597,236.55
2,0,0,3,0.003,25.451,236.55
2,0,0,3,0.003,28.638,236.04
2,0,0,3,0.002,19.171,601.5
2,0,0,3,0.002,19.364,601.5
2,0,0,3,0.002,20.164,738.15
2,0,0,3,0.002,20.818,738.15
2,0,0,3,0.001,17.637,738.15
2,0,0,3,0.002,18.945,738.15
2,0,0,3,0,0,0
2,0,0,3,0.003,29.982,237.53
2,0,0,3,0.003,28.611,237.53
2,0,0,3,0.003,25.268,237.53
2,0,0,3,0.003,27.353,237.53
2,0,0,3,0.003,23.844,236.03
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0.002,22.397,752.73
2,0,0,3,0.002,18.516,752.73
2,0,0,3,0.002,20.218,752.73
2,0,0,3,0.002,19.51,752.73
2,0,0,3,0.002,18.121,752.73
2,0,0,3,0.003,26.09,1479.73
2,0,0,3,0.002,23.502,832.75
2,0,0,3,0.003,29.885,832.75
2,0,0,3,0.002,20.407,602.63
2,0,0,3,0.002,18.7,602.63
2,0,0,3,0.002,19.914,602.63
2,0,0,3,0.002,20.848,602.63
2,0,0,3,0.002,19.939,602.63
2,0,0,3,0.001,16.714,602.63
2,0,0,3,0.003,26.561,773.96
2,0,0,3,0.003,23.797,773.96
2,0,0,3,0.003,24.281,773.96
2,0,0,3,0.003,24.296,773.96
2,0,0,3,0.002,23.022,236.45
2,0,0,3,0.002,22.755,236.45
2,0,0,3,0.003,30.624,236.45
2,0,0,3,0.003,29.827,236.45
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0.002,18.572,602.4
2,0,0,3,0.002,18.96,602.4
2,0,0,3,0.002,19.766,602.4
2,0,0,3,0.002,18.249,602.4
2,0,0,3,0.001,15.845,619.95
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
